"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"28/08/2026 07:45:00 - 28/08/2026 08:00:00","BZN|IT-South","Biomass","191.00"
"28/08/2026 08:00:00 - 28/08/2026 08:15:00","BZN|IT-South","Biomass","191.00"
"28/08/2026 08:15:00 - 28/08/2026 08:30:00","BZN|IT-South","Biomass","191.00"
"28/08/2026 08:30:00 - 28/08/2026 08:45:00","BZN|IT-South","Biomass","182.00"
"28/08/2026 08:45:00 - 28/08/2026 09:00:00","BZN|IT-South","Biomass","170.00"
"28/08/2026 09:00:00 - 28/08/2026 09:15:00","BZN|IT-South","Biomass","170.00"
"28/08/2026 09:15:00 - 28/08/2026 09:30:00","BZN|IT-South","Biomass","169.00"
"28/08/2026 09:30:00 - 28/08/2026 09:45:00","BZN|IT-South","Biomass","167.00"
"28/08/2026 09:45:00 - 28/08/2026 10:00:00","BZN|IT-South","Biomass","167.00"
"28/08/2026 10:00:00 - 28/08/2026 10:15:00","BZN|IT-South","Biomass","176.00"
"28/08/2026 10:15:00 - 28/08/2026 10:30:00","BZN|IT-South","Biomass","190.00"
"28/08/2026 10:30:00 - 28/08/2026 10:45:00","BZN|IT-South","Biomass","191.00"
"28/08/2026 10:45:00 - 28/08/2026 11:00:00","BZN|IT-South","Biomass","191.00"
"28/08/2026 11:00:00 - 28/08/2026 11:15:00","BZN|IT-South","Biomass","191.00"
"28/08/2026 11:15:00 - 28/08/2026 11:30:00","BZN|IT-South","Biomass","191.00"
"28/08/2026 11:30:00 - 28/08/2026 11:45:00","BZN|IT-South","Biomass","189.00"
"28/08/2026 11:45:00 - 28/08/2026 12:00:00","BZN|IT-South","Biomass","188.00"
"28/08/2026 12:00:00 - 28/08/2026 12:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 12:15:00 - 28/08/2026 12:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 12:30:00 - 28/08/2026 12:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 12:45:00 - 28/08/2026 13:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 13:00:00 - 28/08/2026 13:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 13:15:00 - 28/08/2026 13:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 13:30:00 - 28/08/2026 13:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 13:45:00 - 28/08/2026 14:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 14:00:00 - 28/08/2026 14:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 14:15:00 - 28/08/2026 14:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 14:30:00 - 28/08/2026 14:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 14:45:00 - 28/08/2026 15:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 15:00:00 - 28/08/2026 15:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 15:15:00 - 28/08/2026 15:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 15:30:00 - 28/08/2026 15:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 15:45:00 - 28/08/2026 16:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 16:00:00 - 28/08/2026 16:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 16:15:00 - 28/08/2026 16:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 16:30:00 - 28/08/2026 16:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 16:45:00 - 28/08/2026 17:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 17:00:00 - 28/08/2026 17:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 17:15:00 - 28/08/2026 17:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 17:30:00 - 28/08/2026 17:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 17:45:00 - 28/08/2026 18:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 18:00:00 - 28/08/2026 18:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 18:15:00 - 28/08/2026 18:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 18:30:00 - 28/08/2026 18:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 18:45:00 - 28/08/2026 19:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 19:00:00 - 28/08/2026 19:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 19:15:00 - 28/08/2026 19:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 19:30:00 - 28/08/2026 19:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 19:45:00 - 28/08/2026 20:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 20:00:00 - 28/08/2026 20:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 20:15:00 - 28/08/2026 20:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 20:30:00 - 28/08/2026 20:45:00","BZN|IT-South","Biomass","-"
