electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,municipality_code,postcode,address,federal_state,commissioning_date,decommissioning_date,voltage_level,eeg_id,dso,dso_id,tso
0.08,Renewable energy,Bioenergy,Sewage and landfill gas,Sewage and landfill gas,TransnetBW,DE1,DE13,DE135,8.578018405,48.29242877,Oberndorf,8325045,78727.0,,Baden-Württemberg,1900-01-02,,medium voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.015,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE25,DE25C,10.88156233,48.96399433,,9577173,91757.0,,Brandenburg,1901-01-01,,low voltage,,Stadtwerke Treuchtlingen,10001282.0,TenneT
0.055,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE148,9.664272955,47.84613128,Baienfurt,8436011,88255.0,,Baden-Württemberg,1901-01-01,,low voltage / medium voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.12,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE148,9.664272955,47.84613128,Baienfurt,8436011,88255.0,,Baden-Württemberg,1901-01-01,,low voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.044,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE12,DE128,8.775570795,49.35553908,Bammental,8125005,69245.0,,Baden-Württemberg,1901-07-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.08,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE12,DE128,8.775570795,49.35553908,Bammental,8125005,69245.0,,Baden-Württemberg,1901-11-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.05,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE11,DE11A,9.853297113,49.16269351,Unterscheffach,8127099,74549.0,,Baden-Württemberg,1904-01-01,,low voltage,,Elektrizitätswerk Ley,10000358.0,TransnetBW
0.0075,Renewable energy,Hydro,,Run-of-river,50Hertz,DED,DED2,DED2E,13.44652411,51.09284122,,14627020,1665.0,,Sachsen,1905-01-01,,low voltage,,ENSO NETZ GmbH,10001874.0,50Hertz
0.055,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA24,7.040958034,51.07514643,Leverkusen,5316000,51381.0,,Nordrhein-Westfalen,1905-01-01,,low voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.7,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-10,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
1.2,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-15,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.8,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-16,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.04,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE144,9.979264573,48.43354223,Ulm,8421000,89081.0,,Baden-Württemberg,1905-04-19,,medium voltage,,Stadtwerke Ulm/Neu-Ulm Netze GmbH,10001254.0,TransnetBW
0.4,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-22,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.055,Renewable energy,Hydro,,Run-of-river,Amprion,DE2,DE27,DE272,10.62483932,47.88362047,Kaufbeuren,9762000,87600.0,,Bayern,1905-05-04,,low voltage,,Vereinigte Wertach-Elektrizitätswerke GmbH,10000140.0,Amprion
0.56,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-05-08,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.09,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE2,DE26,DE26C,9.95438309,49.51209447,Röttingen / Röttingen,9679182,97285.0,,Bayern,1905-06-26,,low voltage,,Versorgungsbetriebe Röttingen,10001075.0,TransnetBW
1.053,Renewable energy,Bioenergy,Biomass and biogas,Biomass and biogas,TransnetBW,DE2,DE27,DE27D,10.63753985,48.8439812,Alerheim,8115010,86733.0,,Bayern,1905-06-27,,medium voltage,,Netzgesellschaft Ostwürttemberg DonauRies GmbH,10002974.0,TransnetBW
0.03,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.01591182,47.87472388,,9187117,83043.0,,Brandenburg,1906-01-01,,low voltage,,Stadtwerke Bad Aibling,10001093.0,TenneT
0.175,Renewable energy,Hydro,,Run-of-river,TenneT,DEF,DEF0,DEF0B,10.02769268,54.34292716,Quarnbek,1058130,24107.0,,Saarland,1906-01-01,,medium voltage,,SW Kiel Netz GmbH,10001113.0,TenneT
0.45,Renewable energy,Hydro,,Run-of-river,TenneT,DE7,DE73,DE737,10.04106922,51.17928314,Eschwege,6636003,37269.0,,Hamburg,1906-01-01,,low voltage,,Stadtwerke Eschwege GmbH,10000668.0,TenneT
0.3,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.01591182,47.87472388,Bad Aibling,9187117,83043.0,,Brandenburg,1906-01-01,,low voltage,,Stadtwerke Bad Aibling,10001093.0,TenneT
0.45,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21M,12.67651744,47.80871639,Siegsdorf,9189145,83313.0,,Brandenburg,1906-01-01,,low voltage,,Elektrizitätsgenossenschaft Vogling & Angrenzer eG,10000782.0,TenneT
0.04,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.01591182,47.87472388,Bad Aibling,9187117,83043.0,,Brandenburg,1906-01-01,,low voltage,,Stadtwerke Bad Aibling,10001093.0,TenneT
0.03,Renewable energy,Hydro,,Run-of-river,TenneT,DE7,DE73,DE737,10.04106922,51.17928314,,6636003,37269.0,,Hamburg,1906-09-01,,low voltage,,Elektrizitätswerk Rohmund GmbH,10000052.0,TenneT
0.05,Renewable energy,Hydro,,Run-of-river,TenneT,DE7,DE73,DE737,10.04106922,51.17928314,Eschwege-Niederhone,6636003,37269.0,,Hamburg,1906-09-01,,low voltage,,Elektrizitätswerk Rohmund GmbH,10000052.0,TenneT
0.266,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21F,11.69393941,47.7011094,Bad Wiessee,9182111,83707.0,,Brandenburg,1907-01-01,,low voltage / medium voltage,,Elektrizitätswerk Tegernsee Carl Miller KG,10000988.0,TenneT
0.022,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE142,8.948272741,48.46313452,,8416036,72108.0,,Baden-Württemberg,1907-01-01,,medium voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.011,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE214,12.67202933,48.22349666,,9171111,84503.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.06,Renewable energy,Hydro,,Run-of-river,TenneT,DEF,DEF0,DEF0A,10.55954152,54.31379928,Helmstorf,1057026,24321.0,,Saarland,1907-01-01,,low voltage,,Schleswig-Holstein Netz AG,10003299.0,TenneT
0.15,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE217,11.55130967,48.32021921,Haimhausen,9174121,85778.0,,Brandenburg,1907-01-01,,low voltage / medium voltage,,E-Werke Haniel Haimhausen OHG,10000813.0,TenneT
0.09,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.16742706,47.85589916,Stephanskirchen,9187177,83071.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.022,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21N,11.12956446,47.80798866,,9190142,82398.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.0075,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE26,DE266,10.44407506,50.34512982,,9673113,97633.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.16,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.13511176,47.66961338,Oberaudorf,9187157,83080.0,,Brandenburg,1907-01-01,,medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.028,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE22,DE22B,12.40504418,48.8160663,,9278123,94333.0,,Brandenburg,1907-01-01,,low voltage / medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.037,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE22,DE224,12.97378768,48.83681638,Deggendorf,9271119,94469.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.011,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21M,12.42561587,47.79040826,,9189120,83224.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.0302,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE25,DE25B,11.32961214,49.05830453,Greding,9576122,91171.0,,Brandenburg,1907-01-01,,low voltage,,Raiffeisenbank Greding-Thalmässing e.G.,10001385.0,TenneT
0.02,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE22,DE224,13.16792774,48.72371552,,9271127,94547.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.08,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE24,DE248,10.97631954,49.7483471,Hallerndorf,9474133,91352.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
1.25,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE144,9.952042406,48.34408989,Ulm,8421000,89079.0,,Baden-Württemberg,1907-01-01,,medium voltage,,Stadtwerke Ulm/Neu-Ulm Netze GmbH,10001254.0,TransnetBW
0.037,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE23,DE238,12.28705125,48.87270144,Aufhausen,9375115,93089.0,,Brandenburg,1907-01-01,,low voltage / medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.18,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21F,11.73195118,47.63186894,Kreuth,9182124,83708.0,,Brandenburg,1907-01-02,,low voltage / medium voltage,,Elektrizitätswerk Tegernsee Carl Miller KG,10000988.0,TenneT
0.372,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21C,11.2077757,48.13416182,Schöngeising,9179147,82296.0,,Brandenburg,1908-01-01,,medium voltage,,Stadtwerke Fürstenfeldbruck GmbH,10000514.0,TenneT
0.015,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE23,DE238,12.400763,48.90409189,,9375171,93099.0,,Brandenburg,1908-01-01,,low voltage,,Elektrizitätswerk Wörth a.d. Donau Rupert Heider & Co. KG,10003233.0,TenneT
0.2,Renewable energy,Hydro,,Run-of-river,TenneT,DE7,DE73,DE737,10.04106922,51.17928314,Eschwege,6636003,37269.0,,Hamburg,1908-01-01,,low voltage,,Stadtwerke Eschwege GmbH,10000668.0,TenneT
0.62,Renewable energy,Hydro,,Run-of-river,50Hertz,DED,DED4,DED42,13.25494034,50.71165619,Pockau,14521495,9509.0,,Sachsen,1908-01-01,,medium voltage,,Mitteldeutsche Netzgesellschaft Strom mbH,10001645.0,50Hertz
0.065,Renewable energy,Hydro,,Run-of-river,50Hertz,DEG,DEG0,DEG0I,11.50303541,50.58002658,Eichicht,16073038,7338.0,,Thüringen,1908-01-01,,low voltage,,Elektrizitätswerk Max Peissker,10001686.0,50Hertz
0.174,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21A,11.91415344,48.30620879,Erding,9177117,85435.0,,Brandenburg,1908-01-15,,medium voltage,,SEW Stromversorgungs-GmbH,10001422.0,TenneT
0.0235,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21B,11.92296344,48.46841278,,9178143,85368.0,,Brandenburg,1908-06-20,,low voltage,,SWM Infrastruktur GmbH & Co. KG,10001016.0,TenneT
0.107,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE12,DE128,8.826180393,49.32956022,Meckesheim,8236004,74909.0,,Baden-Württemberg,1908-07-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.465,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE13A,7.972168716,47.61802008,Rickenbach,8337090,79736.0,,Baden-Württemberg,1908-08-01,,medium voltage,,ED Netze GmbH,10001411.0,TransnetBW
0.372,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,11.93443538,47.88914887,Bruckmühl,9187122,83052.0,,Brandenburg,1908-11-16,,medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.055,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE139,7.830680182,47.64507875,Schopfheim,8336081,79650.0,,Baden-Württemberg,1909-01-01,,low voltage,,ED Netze GmbH,10001411.0,TransnetBW
0.1,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21M,12.48458112,48.08215120000001,Tacherting,9189149,83342.0,,Brandenburg,1909-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.07,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE146,9.967957106,48.20027762,Schwendi,8426108,88477.0,,Baden-Württemberg,1909-01-01,,medium voltage,,Gebrüder Miller GmbH & Co. KG,10001133.0,TransnetBW
0.098,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE2,DE27,DE27D,10.63753985,48.8439812,Alerheim,9779111,86733.0,,Bayern,1909-01-01,,medium voltage,,Elektrizitätswerk Wennenmühle Schörger KG,10001066.0,TransnetBW
0.065,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE134,8.174117429,48.47519608,Oppenau,8436018,77728.0,,Baden-Württemberg,1909-07-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.744,Renewable energy,Hydro,,Run-of-river,Amprion,DEB,DEB1,DEB1A,7.628249495,50.30402804,Lahnstein,7141075,56112.0,,Rheinland-Pfalz,1909-07-01,,low voltage,,Syna GmbH,10001495.0,Amprion
0.015,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE24,DE248,11.06433166,49.72250583,,9474126,91301.0,,Brandenburg,1909-12-09,,low voltage,,Stadtwerke Forchheim GmbH,10000591.0,TenneT
0.03,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE23,DE239,12.50538515,49.43379041,,9376178,92559.0,,Brandenburg,1910-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.004,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE26,DE26A,9.60208237,49.80267908,,9677154,97855.0,,Brandenburg,1910-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.078,Renewable energy,Hydro,,Run-of-river,50Hertz,DED,DED2,DED2F,14.20283224,50.89654614,Bad Schandau,14628030,1814.0,,Sachsen,1910-01-01,,low voltage,,ENSO NETZ GmbH,10001874.0,50Hertz
0.015,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.25335568,47.98322855,,9187173,83137.0,,Brandenburg,1910-01-01,,low voltage,,Elektrizitäts-Genossenschaft Schonstett eG,10001372.0,TenneT
0.011,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE26,DE26A,9.561818655,49.84215402,,9677157,97828.0,,Brandenburg,1910-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.0075,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.30026448,47.90193659,,9187128,83093.0,,Brandenburg,1910-05-07,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.13,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21M,12.3819895,47.71892969,Schleching,9189141,83259.0,,Brandenburg,1910-05-13,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.07,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE24,DE247,10.89733138,50.1340111,Itzgrund,9473138,96274.0,,Brandenburg,1910-08-04,,low voltage / medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.01,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21G,12.16761575,48.12145295,,9183139,83562.0,,Brandenburg,1910-11-05,,low voltage,,KWH Netz GmbH,10000978.0,TenneT
0.448,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.08116072,47.73089207,Brannenburg,9187120,83098.0,,Brandenburg,1910-12-31,,medium voltage,,Wendelsteinbahn Verteilnetz GmbH,10001691.0,TenneT
0.5,Renewable energy,Bioenergy,Sewage and landfill gas,Sewage and landfill gas,TransnetBW,DE1,DE11,DE115,9.119152773,48.95822306,Bietigheim-Bissingen,8118079,74321.0,,Baden-Württemberg,1911-01-01,,medium voltage,,Stadtwerke Bietigheim-Bissingen GmbH,10000386.0,TransnetBW
0.315,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE11,DE115,9.119152773,48.95822306,Bietigheim-Bissingen,8118079,74321.0,,Baden-Württemberg,1911-01-01,,low voltage / medium voltage,,Stadtwerke Bietigheim-Bissingen GmbH,10000386.0,TransnetBW
0.06,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE136,8.265635179,48.13365934,Triberg,8317011,78098.0,,Baden-Württemberg,1911-01-01,,medium voltage,,EGT Energie GmbH,10001370.0,TransnetBW
0.0075,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE136,8.180951021,48.15368179999999,,8317011,78136.0,,Baden-Württemberg,1911-01-01,,low voltage,,EGT Energie GmbH,10001370.0,TransnetBW
0.3,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE136,8.265635179,48.13365934,Triberg,8317011,78098.0,,Baden-Württemberg,1911-01-01,,medium voltage,,EGT Energie GmbH,10001370.0,TransnetBW
0.011,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE136,8.265635179,48.13365934,,8317011,78098.0,,Baden-Württemberg,1911-01-01,,low voltage,,EGT Energie GmbH,10001370.0,TransnetBW
0.56,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE134,7.916951416,48.55782024,Willstätt,8126011,77731.0,,Baden-Württemberg,1911-07-01,,medium voltage,,Syna GmbH,10001495.0,TransnetBW
0.095,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE141,9.230902509,48.45809239,Pfullingen,8415059,72793.0,,Baden-Württemberg,1911-10-01,,medium voltage,,FairNetz GmbH,10006804.0,TransnetBW
0.279,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE139,7.830680182,47.64507875,Schopfheim,8336081,79650.0,,Baden-Württemberg,1911-11-15,,medium voltage,,ED Netze GmbH,10001411.0,TransnetBW
0.019,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE23,DE234,11.94194332,49.25493375,,9371148,92287.0,,Brandenburg,1912-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.6,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE142,9.094414967,48.55634571,Tübingen,8416041,72074.0,,Baden-Württemberg,1912-01-02,,low voltage,,Stadtwerke Tübingen GmbH,10000434.0,TransnetBW
0.104,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE134,8.174117429,48.47519608,Oppenau,8436018,77728.0,,Baden-Württemberg,1912-07-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.93,Renewable energy,Hydro,,Run-of-river,Amprion,DEB,DEB1,DEB18,7.441976084,50.46541256,Neuwied,7138045,56567.0,,Rheinland-Pfalz,1912-07-01,,low voltage,,Syna GmbH,10001495.0,Amprion
0.099,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE134,8.174117429,48.47519608,Oppenau,8317098,77728.0,,Baden-Württemberg,1912-07-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.41,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE12,DE12B,8.865143832,48.94267403,Mühlacker,8236040,75417.0,,Baden-Württemberg,1912-12-30,,medium voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.32,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA5,DEA5B,8.125588462,51.48515945,Möhnesee,5974032,59519.0,,Nordrhein-Westfalen,1913-01-01,,medium voltage,,Westnetz GmbH,10003764.0,Amprion
2.5,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA5,DEA5B,8.125588462,51.48515945,Möhnesee,5974032,59519.0,,Nordrhein-Westfalen,1913-01-01,,medium voltage,,Westnetz GmbH,10003764.0,Amprion
0.03,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE22,DE22B,12.4978297,48.8897053,,9278117,94348.0,,Brandenburg,1913-01-01,,low voltage,,Elektrizitätswerk Wörth a.d. Donau Rupert Heider & Co. KG,10003233.0,TenneT
0.03,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE146,9.967957106,48.20027762,,8426108,88477.0,,Baden-Württemberg,1913-01-01,,low voltage,,Gebrüder Miller GmbH & Co. KG,10001133.0,TransnetBW
0.15,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA5,DEA5B,7.979550123,51.50148948,Ense,5974012,59469.0,,Nordrhein-Westfalen,1913-01-24,,medium voltage,,Westnetz GmbH,10003764.0,Amprion
0.78,Renewable energy,Hydro,,Run-of-river,50Hertz,DEG,DEG0,DEG0P,10.23164751,51.1230299,Falken,16063076,99830.0,,Thüringen,1913-05-01,,medium voltage,,TEN Thüringer Energienetze GmbH & Co. KG,10001832.0,50Hertz
0.0184,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE23,DE237,12.28287568,49.72284665,,9374121,92685.0,,Brandenburg,1914-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
5.0,Renewable energy,Hydro,,Run-of-river,TenneT,DE9,DE93,DE93B,9.261975148,52.85047900000001,Dörverden,3361003,27313.0,,Niedersachsen,1914-01-01,,high voltage,,Avacon Netz GmbH,10010461.0,TenneT
0.88,Renewable energy,Hydro,,Run-of-river,50Hertz,DED,DED4,DED42,13.17513347,50.77124412,Grünhainichen,14521270,9579.0,,Sachsen,1914-07-14,,medium voltage,,Mitteldeutsche Netzgesellschaft Strom mbH,10001645.0,50Hertz
0.022,Renewable energy,Hydro,,Run-of-river,Amprion,DEB,DEB2,DEB22,7.020545918,50.03420621,Bengel,7231005,54538.0,,Rheinland-Pfalz,1915-01-01,,low voltage,,Westnetz GmbH,10003764.0,Amprion
0.773,Renewable energy,Hydro,,Run-of-river,50Hertz,DED,DED4,DED43,13.06605217,50.91480606,Frankenberg,14522150,9669.0,,Sachsen,1915-01-01,,medium voltage,,Mitteldeutsche Netzgesellschaft Strom mbH,10001645.0,50Hertz
0.019,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,11.85803027,47.91721294,,9187130,83620.0,,Brandenburg,1915-01-02,,low voltage,,Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen  eG,10000779.0,TenneT
0.004,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,11.85803027,47.91721294,,9187130,83620.0,,Brandenburg,1915-01-02,,low voltage,,Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen  eG,10000779.0,TenneT
4.4,Renewable energy,Hydro,,Run-of-river,Amprion,DE1,DE11,DE115,9.211800825,48.96070657,Pleidelsheim,8118063,74385.0,,Baden-Würtemberg,1915-02-09,,medium voltage,,Syna GmbH,10001495.0,Amprion
0.084,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE146,10.00734132,48.12653829,Gutenzell-Hürbel / Weitenbühl,8436009,88484.0,,Baden-Württemberg,1916-01-01,,low voltage / medium voltage,,Gebrüder Miller GmbH & Co. KG,10001133.0,TransnetBW
0.42,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE11,DE115,9.119152773,48.95822306,Bietigheim-Bissingen,8118079,74321.0,,Baden-Württemberg,1917-06-01,,low voltage,,Stadtwerke Bietigheim-Bissingen GmbH,10000386.0,TransnetBW
0.011,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21N,11.14691822,47.84495637,,9190157,82362.0,,Brandenburg,1918-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.66,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE25,DE252,11.02667809,49.60628147,Erlangen,9562000,91054.0,,Brandenburg,1919-01-01,,low voltage,,Erlanger Stadtwerke AG,10001488.0,TenneT
0.011,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE23,DE237,12.3337219,49.62412251,,9374162,92648.0,,Brandenburg,1919-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.27,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE216,11.38377484,47.66322621,Kochel,9173133,82431.0,,Brandenburg,1919-06-01,,medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.007,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,11.85803027,47.91721294,,9187130,83620.0,,Brandenburg,1919-07-31,,low voltage,,Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen  eG,10000779.0,TenneT
0.0075,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21N,11.12956446,47.80798866,,9190142,82398.0,,Brandenburg,1919-09-03,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.3,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21M,12.67651744,47.80871639,Siegsdorf,9189145,83313.0,,Brandenburg,1920-01-02,,low voltage,,Elektrizitätsgenossenschaft Vogling & Angrenzer eG,10000782.0,TenneT
0.045,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21M,12.3819895,47.71892969,Schleching,9189141,83259.0,,Brandenburg,1920-12-01,,low voltage / medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.0285,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE13,DE134,8.158867165,48.55442408,,8435005,77883.0,,Baden-Württemberg,1921-01-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.36,Renewable energy,Hydro,,Run-of-river,50Hertz,DE8,DE80,DE80O,11.58727852,53.26685497,Grabow,13076050,19300.0,,Mecklenburg-Vorpommern,1921-01-01,,low voltage,,WEMAG Netz GmbH,10003007.0,50Hertz
0.011,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE23,DE236,11.84433458,49.22530870000001,,9373134,92366.0,,Brandenburg,1921-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
